Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.0,27137,51713,41729,16898,33284,29697,49665,46594
0.04488062858581543,28161,1282,50689,11522,31492,25345,54785,47106
0.0899193286895752,28417,57345,57345,16898,31748,22273,51713,50434
0.14960980415344238,32001,53249,60161,9218,14084,16385,48129,50690
0.19520974159240723,25857,46081,61441,5890,19204,19969,48897,46338
0.23996901512145996,23041,29185,58113,17922,40196,18689,53249,50178
0.2995145320892334,25089,25089,55041,19714,55044,25601,52481,59650
0.34441661834716797,17409,24065,47617,29698,11525,25345,54017,62210
0.38968992233276367,21761,30465,45569,35074,17413,29185,60417,3075
0.4502077102661133,29441,43009,40961,36610,14597,30977,64257,9987
0.4941856861114502,26625,54017,40449,33538,8453,27393,4098,3843
0.5403554439544678,32769,54273,43521,31490,61700,30209,3330,4355
0.5993936061859131,30977,54017,41217,28674,59652,30721,258,65282
0.6442124843597412,28929,50689,44289,15618,46852,29185,59649,50434
0.6898238658905029,27393,54529,44289,6658,30468,29441,49921,44290
0.7503023147583008,23809,61697,44801,63489,23300,28417,43777,35586
0.7941944599151611,18945,7938,47361,56321,5636,20993,47105,32770
0.8399386405944824,16641,7170,46337,48385,59395,26625,42497,31490
0.8999693393707275,15873,56321,45825,49921,54275,23297,38145,31234
0.9447839260101318,14337,46593,43521,47873,55811,18177,47361,35842
1.0045697689056396,22017,37889,43009,47361,1028,21249,44033,35074
1.0491204261779785,23809,35329,42753,55297,4868,14337,43009,37890
1.095156192779541,27137,38401,46593,56833,11268,13057,49409,45314
1.154191493988037,26113,43521,47873,258,28164,18433,52225,56066
1.2003436088562012,20737,41473,44289,770,29700,16385,59137,61442
1.2599079608917236,17921,38657,43777,8194,41220,18433,58881,7171
1.3042805194854736,19969,43777,42241,10498,47876,19969,56321,12547
1.3501472473144531,25601,37889,39937,13570,47620,19201,52481,11523
1.3946051597595215,30209,34049,44289,21250,48644,20481,48129,10243
1.4549920558929443,26881,40193,44801,15874,40708,21761,49665,8963
1.5001397132873535,20225,46081,35329,13058,37892,25601,59393,64258
1.5449016094207764,18689,43009,41985,8962,23300,25345,52481,60930
1.5898511409759521,17409,43777,46849,1026,7940,26881,44545,57090
1.6503331661224365,21249,35585,48129,1538,4,27393,39681,49410
1.6941370964050293,26113,36865,58625,2,60675,25089,35841,48386
1.7391810417175293,27905,43009,55297,57601,54275,24321,37633,47362
1.7997338771820068,25601,38145,52993,58369,1796,23809,45313,53506
1.8446781635284424,27137,41473,55553,62465,24580,20993,57345,60162
1.8898684978485107,32513,38401,56577,7426,32516,17665,55297,5891
1.949798583984375,34561,34817,54017,12546,40708,15361,58625,7683
1.9948549270629883,37889,42753,53505,20738,51972,16897,62721,16899
2.0400054454803467,35073,43777,49921,23810,59140,23809,63489,22019
2.1005749702453613,32769,36865,48129,20738,8709,35329,62209,19971
2.1444027423858643,28417,34305,53761,24834,16901,38913,57345,25347
2.1899290084838867,26625,34817,55297,25090,11781,38145,53761,25603
2.249608278274536,35073,36353,58625,23042,2053,32001,52481,31235
2.294379234313965,37121,43265,62977,26114,59396,24577,52737,30979
2.339853286743164,41729,52481,64257,28674,46596,28417,54273,27907
2.3999319076538086,42497,53249,59649,20738,37892,27393,53505,15619
2.4453232288360596,36353,55297,61953,19202,30212,27905,44801,8195
2.489896535873413,33281,50945,56577,10498,17412,25857,38913,5635
2.549950122833252,28929,50433,54017,10242,29188,20737,45057,10755
2.595559597015381,30721,55809,61953,18946,48132,25857,48897,16387
2.639899253845215,28161,46337,56833,18690,53252,25601,53761,14339
2.699083089828491,28161,43265,56833,17410,56836,27649,61953,17667
2.74491286277771,33537,46337,61185,22018,5125,31233,2562,19715
2.789501667022705,39937,48641,55553,20482,4869,28929,1282,29187
2.8500895500183105,42753,52225,60929,15362,64260,25601,64769,28419
2.894754648208618,41217,60929,65025,24322,6661,26881,60417,30467
2.939579725265503,39169,60929,57857,19202,3333,23809,55809,26627
2.9995028972625732,29697,55553,61697,15106,57860,17921,54273,18691
3.0449881553649902,34561,63489,61697,17410,48132,18177,50433,20227
3.0904550552368164,34817,58881,56833,12546,28676,14081,54017,14083
3.149650812149048,28673,50945,60929,7170,6404,13057,49409,5635
3.1953723430633545,30977,44033,55297,65025,53251,16129,44801,4355
3.2401649951934814,23553,34561,49409,60417,48387,18177,41217,3587
3.300265312194824,19713,28161,45569,53249,51203,20993,42753,61442
3.3448612689971924,22273,33025,43777,51969,44803,18177,37889,63490
3.3901820182800293,17921,34817,46337,54273,45059,18177,35329,53506
3.4503660202026367,14849,41473,46081,60417,64515,22785,43777,52226
3.495231866836548,14081,49409,46593,4354,13572,18177,47105,60930
3.5393424034118652,9473,50177,46849,9218,30468,25345,49665,64258
3.600388765335083,17665,50945,43777,11522,40452,29441,52993,7683
3.6452293395996094,21249,54273,40193,14338,46596,23553,60673,14083
3.689689874649048,21505,56065,39937,19202,58116,28417,62465,19203
3.7498557567596436,25601,49665,36865,16898,54788,24321,64257,19971
3.793811798095703,16129,55297,38657,18690,62212,23553,2562,20227
3.8394651412963867,15873,52225,39425,15618,56068,26881,61441,13315
3.8992130756378174,13057,43265,42497,9474,35332,23553,53249,3
3.9455206394195557,14081,40961,44801,7682,25604,23041,49921,60930
3.9900062084198,20481,41217,50945,3330,15108,14849,50945,51458
4.049434661865234,20737,58625,64001,62721,12036,15105,52737,37634
4.094347953796387,31489,1026,1026,61953,7428,16129,52481,34818
4.1397786140441895,24577,2,6402,58369,10244,14593,56577,27650
4.199258089065552,23297,64257,64769,61185,14340,19457,63233,27650
4.245419502258301,19713,40961,54785,63745,6916,20481,59393,36354
4.290053606033325,13825,30209,54529,62209,9220,30977,52993,41218
4.349979877471924,20737,34817,51457,4866,22020,34817,50945,52994
